origin_date,location,target,horizon,target_end_date,output_type,output_type_id,value
2018-11-24,HHS Region 1,ili perc,1,2018-12-01,quantile,0.01,0.8786297997645228
2018-11-24,HHS Region 1,ili perc,1,2018-12-01,quantile,0.025,0.9837533684898265
2018-11-24,HHS Region 1,ili perc,1,2018-12-01,quantile,0.05,1.1056866162952133
2018-11-24,HHS Region 1,ili perc,1,2018-12-01,quantile,0.1,1.2261421698382358
2018-11-24,HHS Region 1,ili perc,1,2018-12-01,quantile,0.15,1.2695227955011117
2018-11-24,HHS Region 1,ili perc,1,2018-12-01,quantile,0.2,1.338329983259337
2018-11-24,HHS Region 1,ili perc,1,2018-12-01,quantile,0.25,1.3827598706076034
2018-11-24,HHS Region 1,ili perc,1,2018-12-01,quantile,0.3,1.4306010811636805
2018-11-24,HHS Region 1,ili perc,1,2018-12-01,quantile,0.35,1.474359982101196
2018-11-24,HHS Region 1,ili perc,1,2018-12-01,quantile,0.4,1.5188135566976808
2018-11-24,HHS Region 1,ili perc,1,2018-12-01,quantile,0.45,1.5588916065885998
2018-11-24,HHS Region 1,ili perc,1,2018-12-01,quantile,0.5,1.5994862754252626
2018-11-24,HHS Region 1,ili perc,1,2018-12-01,quantile,0.55,1.6318310766092607
2018-11-24,HHS Region 1,ili perc,1,2018-12-01,quantile,0.6,1.672602593794956
2018-11-24,HHS Region 1,ili perc,1,2018-12-01,quantile,0.65,1.7210591498628651
2018-11-24,HHS Region 1,ili perc,1,2018-12-01,quantile,0.7,1.7695542075800859
2018-11-24,HHS Region 1,ili perc,1,2018-12-01,quantile,0.75,1.8352067158054068
2018-11-24,HHS Region 1,ili perc,1,2018-12-01,quantile,0.8,1.9080646840423698
2018-11-24,HHS Region 1,ili perc,1,2018-12-01,quantile,0.85,1.951340673044755
2018-11-24,HHS Region 1,ili perc,1,2018-12-01,quantile,0.9,2.0697211392669828
2018-11-24,HHS Region 1,ili perc,1,2018-12-01,quantile,0.95,2.2539350413741954
2018-11-24,HHS Region 1,ili perc,1,2018-12-01,quantile,0.975,2.600451781522252
2018-11-24,HHS Region 1,ili perc,1,2018-12-01,quantile,0.99,3.3250648085143357
2018-11-24,HHS Region 1,ili perc,2,2018-12-08,quantile,0.01,0.5859638194297945
2018-11-24,HHS Region 1,ili perc,2,2018-12-08,quantile,0.025,0.7794845687780397
2018-11-24,HHS Region 1,ili perc,2,2018-12-08,quantile,0.05,0.9282764356967516
2018-11-24,HHS Region 1,ili perc,2,2018-12-08,quantile,0.1,1.0772027315839017
2018-11-24,HHS Region 1,ili perc,2,2018-12-08,quantile,0.15,1.1648545090000888
2018-11-24,HHS Region 1,ili perc,2,2018-12-08,quantile,0.2,1.241221814647865
2018-11-24,HHS Region 1,ili perc,2,2018-12-08,quantile,0.25,1.3151945706020842
2018-11-24,HHS Region 1,ili perc,2,2018-12-08,quantile,0.3,1.3757986067997074
2018-11-24,HHS Region 1,ili perc,2,2018-12-08,quantile,0.35,1.4195241654609796
2018-11-24,HHS Region 1,ili perc,2,2018-12-08,quantile,0.4,1.4835849317125058
2018-11-24,HHS Region 1,ili perc,2,2018-12-08,quantile,0.45,1.5363766182408305
2018-11-24,HHS Region 1,ili perc,2,2018-12-08,quantile,0.5,1.5994919198890853
2018-11-24,HHS Region 1,ili perc,2,2018-12-08,quantile,0.55,1.6604080615484498
2018-11-24,HHS Region 1,ili perc,2,2018-12-08,quantile,0.6,1.724985959943069
2018-11-24,HHS Region 1,ili perc,2,2018-12-08,quantile,0.65,1.8050393013939638
2018-11-24,HHS Region 1,ili perc,2,2018-12-08,quantile,0.7,1.8864530174222274
2018-11-24,HHS Region 1,ili perc,2,2018-12-08,quantile,0.75,1.9640022388598197
2018-11-24,HHS Region 1,ili perc,2,2018-12-08,quantile,0.8,2.092240660207649
2018-11-24,HHS Region 1,ili perc,2,2018-12-08,quantile,0.85,2.23187123454907
2018-11-24,HHS Region 1,ili perc,2,2018-12-08,quantile,0.9,2.373567395115872
2018-11-24,HHS Region 1,ili perc,2,2018-12-08,quantile,0.95,2.7666992353120174
2018-11-24,HHS Region 1,ili perc,2,2018-12-08,quantile,0.975,3.270171334489669
2018-11-24,HHS Region 1,ili perc,2,2018-12-08,quantile,0.99,4.079936611355257
2018-11-24,HHS Region 1,ili perc,3,2018-12-15,quantile,0.01,0.483225692699485
2018-11-24,HHS Region 1,ili perc,3,2018-12-15,quantile,0.025,0.6167927222771714
2018-11-24,HHS Region 1,ili perc,3,2018-12-15,quantile,0.05,0.7955251669237035
2018-11-24,HHS Region 1,ili perc,3,2018-12-15,quantile,0.1,0.9860357316016668
2018-11-24,HHS Region 1,ili perc,3,2018-12-15,quantile,0.15,1.0848191360285222
2018-11-24,HHS Region 1,ili perc,3,2018-12-15,quantile,0.2,1.1643481129379698
2018-11-24,HHS Region 1,ili perc,3,2018-12-15,quantile,0.25,1.2483760836797073
2018-11-24,HHS Region 1,ili perc,3,2018-12-15,quantile,0.3,1.353306642939268
2018-11-24,HHS Region 1,ili perc,3,2018-12-15,quantile,0.35,1.4200373859695217
2018-11-24,HHS Region 1,ili perc,3,2018-12-15,quantile,0.4,1.4906293318408594
2018-11-24,HHS Region 1,ili perc,3,2018-12-15,quantile,0.45,1.5625343398840208
2018-11-24,HHS Region 1,ili perc,3,2018-12-15,quantile,0.5,1.6272847757724034
2018-11-24,HHS Region 1,ili perc,3,2018-12-15,quantile,0.55,1.7026044497826334
2018-11-24,HHS Region 1,ili perc,3,2018-12-15,quantile,0.6,1.776049787665531
2018-11-24,HHS Region 1,ili perc,3,2018-12-15,quantile,0.65,1.8815693411777135
2018-11-24,HHS Region 1,ili perc,3,2018-12-15,quantile,0.7,1.9691239124748867
2018-11-24,HHS Region 1,ili perc,3,2018-12-15,quantile,0.75,2.0948480134273515
2018-11-24,HHS Region 1,ili perc,3,2018-12-15,quantile,0.8,2.229540461809081
2018-11-24,HHS Region 1,ili perc,3,2018-12-15,quantile,0.85,2.4436150000196815
2018-11-24,HHS Region 1,ili perc,3,2018-12-15,quantile,0.9,2.6539871549410976
2018-11-24,HHS Region 1,ili perc,3,2018-12-15,quantile,0.95,3.056161159242607
2018-11-24,HHS Region 1,ili perc,3,2018-12-15,quantile,0.975,3.85600281941292
2018-11-24,HHS Region 1,ili perc,3,2018-12-15,quantile,0.99,5.255169113690555
