origin_date,location,target,horizon,target_end_date,output_type,output_type_id,value
2016-01-09,HHS Region 1,ili perc,1,2016-01-16,quantile,0.01,0.49653817408273354
2016-01-09,HHS Region 1,ili perc,1,2016-01-16,quantile,0.025,0.6524198791696557
2016-01-09,HHS Region 1,ili perc,1,2016-01-16,quantile,0.05,0.7773930484360013
2016-01-09,HHS Region 1,ili perc,1,2016-01-16,quantile,0.1,0.8795495937525202
2016-01-09,HHS Region 1,ili perc,1,2016-01-16,quantile,0.15,0.9840191695034459
2016-01-09,HHS Region 1,ili perc,1,2016-01-16,quantile,0.2,1.076799860323822
2016-01-09,HHS Region 1,ili perc,1,2016-01-16,quantile,0.25,1.1487644951080622
2016-01-09,HHS Region 1,ili perc,1,2016-01-16,quantile,0.3,1.2106116794667727
2016-01-09,HHS Region 1,ili perc,1,2016-01-16,quantile,0.35,1.2740664260620524
2016-01-09,HHS Region 1,ili perc,1,2016-01-16,quantile,0.4,1.3336686283680792
2016-01-09,HHS Region 1,ili perc,1,2016-01-16,quantile,0.45,1.3938023499813053
2016-01-09,HHS Region 1,ili perc,1,2016-01-16,quantile,0.5,1.4474696279909005
2016-01-09,HHS Region 1,ili perc,1,2016-01-16,quantile,0.55,1.5175219645640496
2016-01-09,HHS Region 1,ili perc,1,2016-01-16,quantile,0.6,1.5633672794076692
2016-01-09,HHS Region 1,ili perc,1,2016-01-16,quantile,0.65,1.628252496354235
2016-01-09,HHS Region 1,ili perc,1,2016-01-16,quantile,0.7,1.6812467074031021
2016-01-09,HHS Region 1,ili perc,1,2016-01-16,quantile,0.75,1.7510911148315549
2016-01-09,HHS Region 1,ili perc,1,2016-01-16,quantile,0.8,1.8230551261778407
2016-01-09,HHS Region 1,ili perc,1,2016-01-16,quantile,0.85,1.894057757356721
2016-01-09,HHS Region 1,ili perc,1,2016-01-16,quantile,0.9,1.9870827755482363
2016-01-09,HHS Region 1,ili perc,1,2016-01-16,quantile,0.95,2.138687117860962
2016-01-09,HHS Region 1,ili perc,1,2016-01-16,quantile,0.975,2.267548435713924
2016-01-09,HHS Region 1,ili perc,1,2016-01-16,quantile,0.99,2.4538389563494856
