origin_date,location,target,horizon,target_end_date,output_type,output_type_id,value
2019-11-02,HHS Region 1,ili perc,1,2019-11-09,quantile,0.01,0.14597292260812875
2019-11-02,HHS Region 1,ili perc,1,2019-11-09,quantile,0.025,0.3723365161798928
2019-11-02,HHS Region 1,ili perc,1,2019-11-09,quantile,0.05,0.4558166150875033
2019-11-02,HHS Region 1,ili perc,1,2019-11-09,quantile,0.1,0.728851780156413
2019-11-02,HHS Region 1,ili perc,1,2019-11-09,quantile,0.15,0.877956187758903
2019-11-02,HHS Region 1,ili perc,1,2019-11-09,quantile,0.2,0.9627101540570587
2019-11-02,HHS Region 1,ili perc,1,2019-11-09,quantile,0.25,1.060695171950121
2019-11-02,HHS Region 1,ili perc,1,2019-11-09,quantile,0.3,1.1083336349658444
2019-11-02,HHS Region 1,ili perc,1,2019-11-09,quantile,0.35,1.1846720998470621
2019-11-02,HHS Region 1,ili perc,1,2019-11-09,quantile,0.4,1.2267757066922802
2019-11-02,HHS Region 1,ili perc,1,2019-11-09,quantile,0.45,1.2952352086554955
2019-11-02,HHS Region 1,ili perc,1,2019-11-09,quantile,0.5,1.3640897038806814
2019-11-02,HHS Region 1,ili perc,1,2019-11-09,quantile,0.55,1.4248080852241753
2019-11-02,HHS Region 1,ili perc,1,2019-11-09,quantile,0.6,1.4678477527069898
2019-11-02,HHS Region 1,ili perc,1,2019-11-09,quantile,0.65,1.549188256053175
2019-11-02,HHS Region 1,ili perc,1,2019-11-09,quantile,0.7,1.6241531351743026
2019-11-02,HHS Region 1,ili perc,1,2019-11-09,quantile,0.75,1.719184815202728
2019-11-02,HHS Region 1,ili perc,1,2019-11-09,quantile,0.8,1.8678354845486342
2019-11-02,HHS Region 1,ili perc,1,2019-11-09,quantile,0.85,2.0492502706952807
2019-11-02,HHS Region 1,ili perc,1,2019-11-09,quantile,0.9,2.463099125351337
2019-11-02,HHS Region 1,ili perc,1,2019-11-09,quantile,0.95,2.980088650446089
2019-11-02,HHS Region 1,ili perc,1,2019-11-09,quantile,0.975,3.564028543990847
2019-11-02,HHS Region 1,ili perc,1,2019-11-09,quantile,0.99,5.23249519256912
2019-11-02,HHS Region 1,ili perc,2,2019-11-16,quantile,0.01,0.11627997462917294
2019-11-02,HHS Region 1,ili perc,2,2019-11-16,quantile,0.025,0.3637295703334341
