origin_date,location,target,horizon,target_end_date,output_type,output_type_id,value
2018-03-17,HHS Region 1,ili perc,1,2018-03-24,quantile,0.01,0.4818264357682808
2018-03-17,HHS Region 1,ili perc,1,2018-03-24,quantile,0.025,0.6001042243420688
2018-03-17,HHS Region 1,ili perc,1,2018-03-24,quantile,0.05,0.6771969071747299
2018-03-17,HHS Region 1,ili perc,1,2018-03-24,quantile,0.1,0.8073406668357359
2018-03-17,HHS Region 1,ili perc,1,2018-03-24,quantile,0.15,0.9480454940168085
2018-03-17,HHS Region 1,ili perc,1,2018-03-24,quantile,0.2,1.0235229024101746
2018-03-17,HHS Region 1,ili perc,1,2018-03-24,quantile,0.25,1.0970784504168427
2018-03-17,HHS Region 1,ili perc,1,2018-03-24,quantile,0.3,1.1686202272329889
2018-03-17,HHS Region 1,ili perc,1,2018-03-24,quantile,0.35,1.2445164722097175
2018-03-17,HHS Region 1,ili perc,1,2018-03-24,quantile,0.4,1.328218493358574
2018-03-17,HHS Region 1,ili perc,1,2018-03-24,quantile,0.45,1.4215647454992733
2018-03-17,HHS Region 1,ili perc,1,2018-03-24,quantile,0.5,1.5064575866851244
2018-03-17,HHS Region 1,ili perc,1,2018-03-24,quantile,0.55,1.58917455761698
2018-03-17,HHS Region 1,ili perc,1,2018-03-24,quantile,0.6,1.7020413696390861
2018-03-17,HHS Region 1,ili perc,1,2018-03-24,quantile,0.65,1.803223605241219
2018-03-17,HHS Region 1,ili perc,1,2018-03-24,quantile,0.7,1.969023675644903
2018-03-17,HHS Region 1,ili perc,1,2018-03-24,quantile,0.75,2.12638714529792
2018-03-17,HHS Region 1,ili perc,1,2018-03-24,quantile,0.8,2.292151789563377
2018-03-17,HHS Region 1,ili perc,1,2018-03-24,quantile,0.85,2.550528254948795
2018-03-17,HHS Region 1,ili perc,1,2018-03-24,quantile,0.9,2.816206733794422
2018-03-17,HHS Region 1,ili perc,1,2018-03-24,quantile,0.95,3.2150798296752843
2018-03-17,HHS Region 1,ili perc,1,2018-03-24,quantile,0.975,3.8693148440767
2018-03-17,HHS Region 1,ili perc,1,2018-03-24,quantile,0.99,4.775152130329268
2018-03-17,HHS Region 1,ili perc,2,2018-03-31,quantile,0.01,0.4191637384947505
2018-03-17,HHS Region 1,ili perc,2,2018-03-31,quantile,0.025,0.495736132106197
2018-03-17,HHS Region 1,ili perc,2,2018-03-31,quantile,0.05,0.5657802157666815
2018-03-17,HHS Region 1,ili perc,2,2018-03-31,quantile,0.1,0.6881294292380867
