origin_date,location,target,horizon,target_end_date,output_type,output_type_id,value
2016-12-24,HHS Region 1,ili perc,1,2016-12-31,quantile,0.01,0.1956007691797578
2016-12-24,HHS Region 1,ili perc,1,2016-12-31,quantile,0.025,0.6727896316021984
2016-12-24,HHS Region 1,ili perc,1,2016-12-31,quantile,0.05,0.8534131205784486
2016-12-24,HHS Region 1,ili perc,1,2016-12-31,quantile,0.1,0.9041301632551159
2016-12-24,HHS Region 1,ili perc,1,2016-12-31,quantile,0.15,1.027859356765782
2016-12-24,HHS Region 1,ili perc,1,2016-12-31,quantile,0.2,1.079399836003516
2016-12-24,HHS Region 1,ili perc,1,2016-12-31,quantile,0.25,1.0986472290471934
2016-12-24,HHS Region 1,ili perc,1,2016-12-31,quantile,0.3,1.1148520941845599
2016-12-24,HHS Region 1,ili perc,1,2016-12-31,quantile,0.35,1.1412651007477572
2016-12-24,HHS Region 1,ili perc,1,2016-12-31,quantile,0.4,1.1742754290471935
2016-12-24,HHS Region 1,ili perc,1,2016-12-31,quantile,0.45,1.191699296102634
2016-12-24,HHS Region 1,ili perc,1,2016-12-31,quantile,0.5,1.2015005688484652
2016-12-24,HHS Region 1,ili perc,1,2016-12-31,quantile,0.55,1.2069748071956616
2016-12-24,HHS Region 1,ili perc,1,2016-12-31,quantile,0.6,1.2239456096705368
2016-12-24,HHS Region 1,ili perc,1,2016-12-31,quantile,0.65,1.256406557539776
2016-12-24,HHS Region 1,ili perc,1,2016-12-31,quantile,0.7,1.2675944290471937
2016-12-24,HHS Region 1,ili perc,1,2016-12-31,quantile,0.75,1.3003028914905919
2016-12-24,HHS Region 1,ili perc,1,2016-12-31,quantile,0.8,1.3472989323467535
2016-12-24,HHS Region 1,ili perc,1,2016-12-31,quantile,0.85,1.3839494517826811
2016-12-24,HHS Region 1,ili perc,1,2016-12-31,quantile,0.9,1.4161418382704252
2016-12-24,HHS Region 1,ili perc,1,2016-12-31,quantile,0.95,1.481075209346497
