origin_date,location,target,horizon,target_end_date,output_type,output_type_id,value
2020-01-04,HHS Region 1,ili perc,1,2020-01-11,quantile,0.01,2.6287591014262954
2020-01-04,HHS Region 1,ili perc,1,2020-01-11,quantile,0.025,2.728938196507147
2020-01-04,HHS Region 1,ili perc,1,2020-01-11,quantile,0.05,2.880546368278163
2020-01-04,HHS Region 1,ili perc,1,2020-01-11,quantile,0.1,3.042326803273211
2020-01-04,HHS Region 1,ili perc,1,2020-01-11,quantile,0.15,3.150205600171963
2020-01-04,HHS Region 1,ili perc,1,2020-01-11,quantile,0.2,3.300511859134674
2020-01-04,HHS Region 1,ili perc,1,2020-01-11,quantile,0.25,3.4476279596734534
2020-01-04,HHS Region 1,ili perc,1,2020-01-11,quantile,0.3,3.680406073171053
2020-01-04,HHS Region 1,ili perc,1,2020-01-11,quantile,0.35,3.7599564079154013
2020-01-04,HHS Region 1,ili perc,1,2020-01-11,quantile,0.4,3.861396381646199
2020-01-04,HHS Region 1,ili perc,1,2020-01-11,quantile,0.45,3.91454699293207
2020-01-04,HHS Region 1,ili perc,1,2020-01-11,quantile,0.5,3.9477828017041605
2020-01-04,HHS Region 1,ili perc,1,2020-01-11,quantile,0.55,4.076979187998631
2020-01-04,HHS Region 1,ili perc,1,2020-01-11,quantile,0.6,4.1716151650973785
2020-01-04,HHS Region 1,ili perc,1,2020-01-11,quantile,0.65,4.272798495947468
2020-01-04,HHS Region 1,ili perc,1,2020-01-11,quantile,0.7,4.348527446331049
2020-01-04,HHS Region 1,ili perc,1,2020-01-11,quantile,0.75,4.507048716199713
2020-01-04,HHS Region 1,ili perc,1,2020-01-11,quantile,0.8,4.64427542292467
2020-01-04,HHS Region 1,ili perc,1,2020-01-11,quantile,0.85,4.836618967711102
2020-01-04,HHS Region 1,ili perc,1,2020-01-11,quantile,0.9,5.1013493183034475
2020-01-04,HHS Region 1,ili perc,1,2020-01-11,quantile,0.95,5.213088732110094
2020-01-04,HHS Region 1,ili perc,1,2020-01-11,quantile,0.975,5.55755729410612
2020-01-04,HHS Region 1,ili perc,1,2020-01-11,quantile,0.99,5.654927819082518
2020-01-04,HHS Region 1,ili perc,2,2020-01-18,quantile,0.01,2.252257555747805
2020-01-04,HHS Region 1,ili perc,2,2020-01-18,quantile,0.025,2.405167697796767
2020-01-04,HHS Region 1,ili perc,2,2020-01-18,quantile,0.05,2.5621229300142225
2020-01-04,HHS Region 1,ili perc,2,2020-01-18,quantile,0.1,3.195536394710145
2020-01-04,HHS Region 1,ili perc,2,2020-01-18,quantile,0.15,3.3325783016888546
2020-01-04,HHS Region 1,ili perc,2,2020-01-18,quantile,0.2,3.487651243199088
2020-01-04,HHS Region 1,ili perc,2,2020-01-18,quantile,0.25,3.6045799333285404
2020-01-04,HHS Region 1,ili perc,2,2020-01-18,quantile,0.3,3.760330280054684
2020-01-04,HHS Region 1,ili perc,2,2020-01-18,quantile,0.35,3.9352659249541
2020-01-04,HHS Region 1,ili perc,2,2020-01-18,quantile,0.4,4.0736904416904585
2020-01-04,HHS Region 1,ili perc,2,2020-01-18,quantile,0.45,4.241099130239595
2020-01-04,HHS Region 1,ili perc,2,2020-01-18,quantile,0.5,4.351687095943689
2020-01-04,HHS Region 1,ili perc,2,2020-01-18,quantile,0.55,4.542249662634887
2020-01-04,HHS Region 1,ili perc,2,2020-01-18,quantile,0.6,4.683622023128508
2020-01-04,HHS Region 1,ili perc,2,2020-01-18,quantile,0.65,4.78138795748708
2020-01-04,HHS Region 1,ili perc,2,2020-01-18,quantile,0.7,4.958846204094162
2020-01-04,HHS Region 1,ili perc,2,2020-01-18,quantile,0.75,5.147822406209778
2020-01-04,HHS Region 1,ili perc,2,2020-01-18,quantile,0.8,5.3103552036877835
2020-01-04,HHS Region 1,ili perc,2,2020-01-18,quantile,0.85,5.631887734460541
2020-01-04,HHS Region 1,ili perc,2,2020-01-18,quantile,0.9,6.241049592683966
2020-01-04,HHS Region 1,ili perc,2,2020-01-18,quantile,0.95,6.433024609281656
2020-01-04,HHS Region 1,ili perc,2,2020-01-18,quantile,0.975,6.768936067876544
2020-01-04,HHS Region 1,ili perc,2,2020-01-18,quantile,0.99,7.004975512062908
2020-01-04,HHS Region 1,ili perc,3,2020-01-25,quantile,0.01,2.1737736050289302
2020-01-04,HHS Region 1,ili perc,3,2020-01-25,quantile,0.025,2.653937767251243
2020-01-04,HHS Region 1,ili perc,3,2020-01-25,quantile,0.05,3.1241853508305018
2020-01-04,HHS Region 1,ili perc,3,2020-01-25,quantile,0.1,3.4224951897701805
2020-01-04,HHS Region 1,ili perc,3,2020-01-25,quantile,0.15,3.549057255131057
2020-01-04,HHS Region 1,ili perc,3,2020-01-25,quantile,0.2,3.852788534399868
2020-01-04,HHS Region 1,ili perc,3,2020-01-25,quantile,0.25,4.092875987926353
2020-01-04,HHS Region 1,ili perc,3,2020-01-25,quantile,0.3,4.1906922213515445
2020-01-04,HHS Region 1,ili perc,3,2020-01-25,quantile,0.35,4.419088966341552
2020-01-04,HHS Region 1,ili perc,3,2020-01-25,quantile,0.4,4.489912326512323
2020-01-04,HHS Region 1,ili perc,3,2020-01-25,quantile,0.45,4.6520180363658605
2020-01-04,HHS Region 1,ili perc,3,2020-01-25,quantile,0.5,4.734588000188021
2020-01-04,HHS Region 1,ili perc,3,2020-01-25,quantile,0.55,4.886569506335915
2020-01-04,HHS Region 1,ili perc,3,2020-01-25,quantile,0.6,5.06313767329331
2020-01-04,HHS Region 1,ili perc,3,2020-01-25,quantile,0.65,5.36295802444262
2020-01-04,HHS Region 1,ili perc,3,2020-01-25,quantile,0.7,5.592357421358475
2020-01-04,HHS Region 1,ili perc,3,2020-01-25,quantile,0.75,5.997787473570261
2020-01-04,HHS Region 1,ili perc,3,2020-01-25,quantile,0.8,6.376945453954855
2020-01-04,HHS Region 1,ili perc,3,2020-01-25,quantile,0.85,6.592899005758346
2020-01-04,HHS Region 1,ili perc,3,2020-01-25,quantile,0.9,7.119916921715034
2020-01-04,HHS Region 1,ili perc,3,2020-01-25,quantile,0.95,7.51713072502312
2020-01-04,HHS Region 1,ili perc,3,2020-01-25,quantile,0.975,7.878500798199527
2020-01-04,HHS Region 1,ili perc,3,2020-01-25,quantile,0.99,8.031049715569363
2020-01-04,HHS Region 1,ili perc,4,2020-02-01,quantile,0.01,2.1013545292675784
2020-01-04,HHS Region 1,ili perc,4,2020-02-01,quantile,0.025,2.5739292602155857
2020-01-04,HHS Region 1,ili perc,4,2020-02-01,quantile,0.05,2.9533703139370715
2020-01-04,HHS Region 1,ili perc,4,2020-02-01,quantile,0.1,3.3362943730919414
2020-01-04,HHS Region 1,ili perc,4,2020-02-01,quantile,0.15,3.4570742413065294
2020-01-04,HHS Region 1,ili perc,4,2020-02-01,quantile,0.2,3.6402567448974112
2020-01-04,HHS Region 1,ili perc,4,2020-02-01,quantile,0.25,4.0488033778094845
2020-01-04,HHS Region 1,ili perc,4,2020-02-01,quantile,0.3,4.333115006064793
2020-01-04,HHS Region 1,ili perc,4,2020-02-01,quantile,0.35,4.596180220612146
2020-01-04,HHS Region 1,ili perc,4,2020-02-01,quantile,0.4,4.7158122646107765
2020-01-04,HHS Region 1,ili perc,4,2020-02-01,quantile,0.45,4.893984484360072
2020-01-04,HHS Region 1,ili perc,4,2020-02-01,quantile,0.5,5.117980662047135
2020-01-04,HHS Region 1,ili perc,4,2020-02-01,quantile,0.55,5.2129411642670975
2020-01-04,HHS Region 1,ili perc,4,2020-02-01,quantile,0.6,5.37783779787422
