origin_date,location,target,horizon,target_end_date,output_type,output_type_id,value
2016-04-02,HHS Region 1,ili perc,1,2016-04-09,quantile,0.01,1.1132166425483387
2016-04-02,HHS Region 1,ili perc,1,2016-04-09,quantile,0.025,1.1682992628487936
2016-04-02,HHS Region 1,ili perc,1,2016-04-09,quantile,0.05,1.318337595369814
2016-04-02,HHS Region 1,ili perc,1,2016-04-09,quantile,0.1,1.3753432193827446
2016-04-02,HHS Region 1,ili perc,1,2016-04-09,quantile,0.15,1.4421826475889044
2016-04-02,HHS Region 1,ili perc,1,2016-04-09,quantile,0.2,1.4900773598582036
2016-04-02,HHS Region 1,ili perc,1,2016-04-09,quantile,0.25,1.51686593521406
2016-04-02,HHS Region 1,ili perc,1,2016-04-09,quantile,0.3,1.5682915675202072
2016-04-02,HHS Region 1,ili perc,1,2016-04-09,quantile,0.35,1.634284824214521
2016-04-02,HHS Region 1,ili perc,1,2016-04-09,quantile,0.4,1.716984159055801
2016-04-02,HHS Region 1,ili perc,1,2016-04-09,quantile,0.45,1.7411037530714193
2016-04-02,HHS Region 1,ili perc,1,2016-04-09,quantile,0.5,1.7806820181265879
2016-04-02,HHS Region 1,ili perc,1,2016-04-09,quantile,0.55,1.8449829675048994
2016-04-02,HHS Region 1,ili perc,1,2016-04-09,quantile,0.6,1.894865579085153
2016-04-02,HHS Region 1,ili perc,1,2016-04-09,quantile,0.65,1.982258859578398
2016-04-02,HHS Region 1,ili perc,1,2016-04-09,quantile,0.7,2.062798833418521
2016-04-02,HHS Region 1,ili perc,1,2016-04-09,quantile,0.75,2.1388346863559806
2016-04-02,HHS Region 1,ili perc,1,2016-04-09,quantile,0.8,2.2166059714243302
2016-04-02,HHS Region 1,ili perc,1,2016-04-09,quantile,0.85,2.320079689324826
2016-04-02,HHS Region 1,ili perc,1,2016-04-09,quantile,0.9,2.369084916436589
2016-04-02,HHS Region 1,ili perc,1,2016-04-09,quantile,0.95,2.5367560217087837
2016-04-02,HHS Region 1,ili perc,1,2016-04-09,quantile,0.975,2.634052943463577
2016-04-02,HHS Region 1,ili perc,1,2016-04-09,quantile,0.99,3.0818715850791385
2016-04-02,HHS Region 1,ili perc,2,2016-04-16,quantile,0.01,0.8911101057570466
