origin_date,location,target,horizon,target_end_date,output_type,output_type_id,value
2017-01-28,HHS Region 1,ili perc,1,2017-02-04,quantile,0.01,1.2387916289004441
2017-01-28,HHS Region 1,ili perc,1,2017-02-04,quantile,0.025,1.600142374022453
2017-01-28,HHS Region 1,ili perc,1,2017-02-04,quantile,0.05,1.7193820653415113
2017-01-28,HHS Region 1,ili perc,1,2017-02-04,quantile,0.1,1.8510139795291498
2017-01-28,HHS Region 1,ili perc,1,2017-02-04,quantile,0.15,1.9077385834070215
2017-01-28,HHS Region 1,ili perc,1,2017-02-04,quantile,0.2,1.9387901862515504
2017-01-28,HHS Region 1,ili perc,1,2017-02-04,quantile,0.25,1.964978515641113
2017-01-28,HHS Region 1,ili perc,1,2017-02-04,quantile,0.3,1.9820926625308544
2017-01-28,HHS Region 1,ili perc,1,2017-02-04,quantile,0.35,2.0027042687812693
2017-01-28,HHS Region 1,ili perc,1,2017-02-04,quantile,0.4,2.0161522587064247
2017-01-28,HHS Region 1,ili perc,1,2017-02-04,quantile,0.45,2.039313024518119
2017-01-28,HHS Region 1,ili perc,1,2017-02-04,quantile,0.5,2.0506983668735583
2017-01-28,HHS Region 1,ili perc,1,2017-02-04,quantile,0.55,2.074118580902109
2017-01-28,HHS Region 1,ili perc,1,2017-02-04,quantile,0.6,2.0930245077068084
2017-01-28,HHS Region 1,ili perc,1,2017-02-04,quantile,0.65,2.1082095093149635
2017-01-28,HHS Region 1,ili perc,1,2017-02-04,quantile,0.7,2.123289140871957
2017-01-28,HHS Region 1,ili perc,1,2017-02-04,quantile,0.75,2.170350373275631
2017-01-28,HHS Region 1,ili perc,1,2017-02-04,quantile,0.8,2.210663176935672
2017-01-28,HHS Region 1,ili perc,1,2017-02-04,quantile,0.85,2.281546747665523
2017-01-28,HHS Region 1,ili perc,1,2017-02-04,quantile,0.9,2.373386453703356
2017-01-28,HHS Region 1,ili perc,1,2017-02-04,quantile,0.95,2.5219851952351857
