origin_date,location,target,horizon,target_end_date,output_type,output_type_id,value
2017-01-28,HHS Region 1,ili perc,1,2017-02-04,quantile,0.01,0
2017-01-28,HHS Region 1,ili perc,1,2017-02-04,quantile,0.025,0
2017-01-28,HHS Region 1,ili perc,1,2017-02-04,quantile,0.05,0
2017-01-28,HHS Region 1,ili perc,1,2017-02-04,quantile,0.1,0.1845890679205143
2017-01-28,HHS Region 1,ili perc,1,2017-02-04,quantile,0.15,0.6564170196102661
2017-01-28,HHS Region 1,ili perc,1,2017-02-04,quantile,0.2,0.7712873495511858
2017-01-28,HHS Region 1,ili perc,1,2017-02-04,quantile,0.25,0.9844014276729853
2017-01-28,HHS Region 1,ili perc,1,2017-02-04,quantile,0.3,1.1263046448217837
2017-01-28,HHS Region 1,ili perc,1,2017-02-04,quantile,0.35,1.273227867073546
2017-01-28,HHS Region 1,ili perc,1,2017-02-04,quantile,0.4,1.416911470351426
2017-01-28,HHS Region 1,ili perc,1,2017-02-04,quantile,0.45,1.6309149842723574
2017-01-28,HHS Region 1,ili perc,1,2017-02-04,quantile,0.5,1.696413529622824
2017-01-28,HHS Region 1,ili perc,1,2017-02-04,quantile,0.55,1.9009780836700028
2017-01-28,HHS Region 1,ili perc,1,2017-02-04,quantile,0.6,2.0727187241089142
2017-01-28,HHS Region 1,ili perc,1,2017-02-04,quantile,0.65,2.127431698635222
2017-01-28,HHS Region 1,ili perc,1,2017-02-04,quantile,0.7,2.278676982801773
2017-01-28,HHS Region 1,ili perc,1,2017-02-04,quantile,0.75,2.5202508884245165
2017-01-28,HHS Region 1,ili perc,1,2017-02-04,quantile,0.8,2.6409229642212413
2017-01-28,HHS Region 1,ili perc,1,2017-02-04,quantile,0.85,2.7591168853055335
2017-01-28,HHS Region 1,ili perc,1,2017-02-04,quantile,0.9,2.9706804758125847
2017-01-28,HHS Region 1,ili perc,1,2017-02-04,quantile,0.95,3.3507316251693027
2017-01-28,HHS Region 1,ili perc,1,2017-02-04,quantile,0.975,3.8504488670044967
2017-01-28,HHS Region 1,ili perc,1,2017-02-04,quantile,0.99,4.342847383647383
2017-01-28,HHS Region 1,ili perc,2,2017-02-11,quantile,0.01,0
2017-01-28,HHS Region 1,ili perc,2,2017-02-11,quantile,0.025,0
2017-01-28,HHS Region 1,ili perc,2,2017-02-11,quantile,0.05,0.3759995112001511
