origin_date,location,target,horizon,target_end_date,output_type,output_type_id,value
2015-12-19,HHS Region 1,ili perc,1,2015-12-26,quantile,0.01,0
2015-12-19,HHS Region 1,ili perc,1,2015-12-26,quantile,0.025,0
2015-12-19,HHS Region 1,ili perc,1,2015-12-26,quantile,0.05,0
2015-12-19,HHS Region 1,ili perc,1,2015-12-26,quantile,0.1,0
2015-12-19,HHS Region 1,ili perc,1,2015-12-26,quantile,0.15,0
2015-12-19,HHS Region 1,ili perc,1,2015-12-26,quantile,0.2,0.18383786503717622
2015-12-19,HHS Region 1,ili perc,1,2015-12-26,quantile,0.25,0.3218978488197996
2015-12-19,HHS Region 1,ili perc,1,2015-12-26,quantile,0.3,0.4821400355608846
2015-12-19,HHS Region 1,ili perc,1,2015-12-26,quantile,0.35,0.6416593381609674
2015-12-19,HHS Region 1,ili perc,1,2015-12-26,quantile,0.4,0.7709434358917693
2015-12-19,HHS Region 1,ili perc,1,2015-12-26,quantile,0.45,0.9102342525600648
2015-12-19,HHS Region 1,ili perc,1,2015-12-26,quantile,0.5,0.99527763955627635
2015-12-19,HHS Region 1,ili perc,1,2015-12-26,quantile,0.55,1.0966590169390702
2015-12-19,HHS Region 1,ili perc,1,2015-12-26,quantile,0.6,1.2146858457522332
2015-12-19,HHS Region 1,ili perc,1,2015-12-26,quantile,0.65,1.303283861576492
2015-12-19,HHS Region 1,ili perc,1,2015-12-26,quantile,0.7,1.4251528526098194
2015-12-19,HHS Region 1,ili perc,1,2015-12-26,quantile,0.75,1.5304703919293041
2015-12-19,HHS Region 1,ili perc,1,2015-12-26,quantile,0.8,1.6825064084060597
2015-12-19,HHS Region 1,ili perc,1,2015-12-26,quantile,0.85,1.8883646190975139
2015-12-19,HHS Region 1,ili perc,1,2015-12-26,quantile,0.9,2.1290502474156527
2015-12-19,HHS Region 1,ili perc,1,2015-12-26,quantile,0.95,2.531476215801344
2015-12-19,HHS Region 1,ili perc,1,2015-12-26,quantile,0.975,2.8193691707181614
2015-12-19,HHS Region 1,ili perc,1,2015-12-26,quantile,0.99,3.2136724375650725
2015-12-19,HHS Region 1,ili perc,2,2016-01-02,quantile,0.01,0
