origin_date,location,target,horizon,target_end_date,output_type,output_type_id,value
2018-04-14,HHS Region 1,ili perc,1,2018-04-21,quantile,0.01,1.601553138721291
2018-04-14,HHS Region 1,ili perc,1,2018-04-21,quantile,0.025,1.6683419947675677
2018-04-14,HHS Region 1,ili perc,1,2018-04-21,quantile,0.05,1.7334034981066604
2018-04-14,HHS Region 1,ili perc,1,2018-04-21,quantile,0.1,1.7983564012288622
2018-04-14,HHS Region 1,ili perc,1,2018-04-21,quantile,0.15,1.820371353359579
2018-04-14,HHS Region 1,ili perc,1,2018-04-21,quantile,0.2,1.8373060764265003
2018-04-14,HHS Region 1,ili perc,1,2018-04-21,quantile,0.25,1.8470477698212142
2018-04-14,HHS Region 1,ili perc,1,2018-04-21,quantile,0.3,1.8563674310593727
2018-04-14,HHS Region 1,ili perc,1,2018-04-21,quantile,0.35,1.8665638185356008
2018-04-14,HHS Region 1,ili perc,1,2018-04-21,quantile,0.4,1.8767505227618966
2018-04-14,HHS Region 1,ili perc,1,2018-04-21,quantile,0.45,1.8839641401155214
2018-04-14,HHS Region 1,ili perc,1,2018-04-21,quantile,0.5,1.889629471672123
2018-04-14,HHS Region 1,ili perc,1,2018-04-21,quantile,0.55,1.8972571860114784
2018-04-14,HHS Region 1,ili perc,1,2018-04-21,quantile,0.6,1.9031946035985556
2018-04-14,HHS Region 1,ili perc,1,2018-04-21,quantile,0.65,1.9092041898670278
2018-04-14,HHS Region 1,ili perc,1,2018-04-21,quantile,0.7,1.9162314897953316
2018-04-14,HHS Region 1,ili perc,1,2018-04-21,quantile,0.75,1.9281167305686593
2018-04-14,HHS Region 1,ili perc,1,2018-04-21,quantile,0.8,1.9398277717556163
2018-04-14,HHS Region 1,ili perc,1,2018-04-21,quantile,0.85,1.953131689827665
2018-04-14,HHS Region 1,ili perc,1,2018-04-21,quantile,0.9,1.991361569551619
2018-04-14,HHS Region 1,ili perc,1,2018-04-21,quantile,0.95,2.072016357767026
2018-04-14,HHS Region 1,ili perc,1,2018-04-21,quantile,0.975,2.2721274072612623
2018-04-14,HHS Region 1,ili perc,1,2018-04-21,quantile,0.99,2.506589264532022
2018-04-14,HHS Region 1,ili perc,2,2018-04-28,quantile,0.01,1.3630651952564998
2018-04-14,HHS Region 1,ili perc,2,2018-04-28,quantile,0.025,1.4286634083969958
2018-04-14,HHS Region 1,ili perc,2,2018-04-28,quantile,0.05,1.508186031702337
2018-04-14,HHS Region 1,ili perc,2,2018-04-28,quantile,0.1,1.5747933406686139
2018-04-14,HHS Region 1,ili perc,2,2018-04-28,quantile,0.15,1.6149435256973903
2018-04-14,HHS Region 1,ili perc,2,2018-04-28,quantile,0.2,1.6421613830346777
2018-04-14,HHS Region 1,ili perc,2,2018-04-28,quantile,0.25,1.6646569947533933
2018-04-14,HHS Region 1,ili perc,2,2018-04-28,quantile,0.3,1.6811254500527135
2018-04-14,HHS Region 1,ili perc,2,2018-04-28,quantile,0.35,1.696789709251652
2018-04-14,HHS Region 1,ili perc,2,2018-04-28,quantile,0.4,1.7116383034541405
2018-04-14,HHS Region 1,ili perc,2,2018-04-28,quantile,0.45,1.724534579449171
2018-04-14,HHS Region 1,ili perc,2,2018-04-28,quantile,0.5,1.7380489480167807
