origin_date,target_end_date,horizon,location,target,output_type,output_type_id,value
2016-05-14,2016-05-21,1,HHS Region 1,ili perc,quantile,0.01,0
2016-05-14,2016-05-21,1,HHS Region 1,ili perc,quantile,0.025,0
2016-05-14,2016-05-21,1,HHS Region 1,ili perc,quantile,0.05,0
2016-05-14,2016-05-21,1,HHS Region 1,ili perc,quantile,0.1,0.05672507853297892
2016-05-14,2016-05-21,1,HHS Region 1,ili perc,quantile,0.15000000000000002,0.368394791626751
2016-05-14,2016-05-21,1,HHS Region 1,ili perc,quantile,0.2,0.48518812746770906
2016-05-14,2016-05-21,1,HHS Region 1,ili perc,quantile,0.25,0.5788458405468295
2016-05-14,2016-05-21,1,HHS Region 1,ili perc,quantile,0.3,0.655979366449919
2016-05-14,2016-05-21,1,HHS Region 1,ili perc,quantile,0.35000000000000003,0.7042678568697766
2016-05-14,2016-05-21,1,HHS Region 1,ili perc,quantile,0.4,0.749604906537871
2016-05-14,2016-05-21,1,HHS Region 1,ili perc,quantile,0.45,0.7913936176120131
2016-05-14,2016-05-21,1,HHS Region 1,ili perc,quantile,0.5,0.8154515542554281
2016-05-14,2016-05-21,1,HHS Region 1,ili perc,quantile,0.55,0.8527309903826891
2016-05-14,2016-05-21,1,HHS Region 1,ili perc,quantile,0.6000000000000001,0.8847224386294401
2016-05-14,2016-05-21,1,HHS Region 1,ili perc,quantile,0.6500000000000001,0.9276507407271412
2016-05-14,2016-05-21,1,HHS Region 1,ili perc,quantile,0.7000000000000001,0.981943538712198
2016-05-14,2016-05-21,1,HHS Region 1,ili perc,quantile,0.7500000000000001,1.026789338157165
2016-05-14,2016-05-21,1,HHS Region 1,ili perc,quantile,0.8,1.1108363664499192
2016-05-14,2016-05-21,1,HHS Region 1,ili perc,quantile,0.8500000000000001,1.21811519906696
2016-05-14,2016-05-21,1,HHS Region 1,ili perc,quantile,0.9000000000000001,1.5086831858592975
2016-05-14,2016-05-21,1,HHS Region 1,ili perc,quantile,0.95,2.123645345640345
2016-05-14,2016-05-21,1,HHS Region 1,ili perc,quantile,0.975,2.557122986212272
2016-05-14,2016-05-21,1,HHS Region 1,ili perc,quantile,0.99,3.286542680388058
2016-05-14,2016-05-28,2,HHS Region 1,ili perc,quantile,0.01,0
2016-05-14,2016-05-28,2,HHS Region 1,ili perc,quantile,0.025,0
2016-05-14,2016-05-28,2,HHS Region 1,ili perc,quantile,0.05,0
2016-05-14,2016-05-28,2,HHS Region 1,ili perc,quantile,0.1,0.2325467256600061
2016-05-14,2016-05-28,2,HHS Region 1,ili perc,quantile,0.15000000000000002,0.4309114263275462
2016-05-14,2016-05-28,2,HHS Region 1,ili perc,quantile,0.2,0.5363259435878501
2016-05-14,2016-05-28,2,HHS Region 1,ili perc,quantile,0.25,0.6358535147746799
2016-05-14,2016-05-28,2,HHS Region 1,ili perc,quantile,0.3,0.6866713664499191
2016-05-14,2016-05-28,2,HHS Region 1,ili perc,quantile,0.35000000000000003,0.7516803664499191
2016-05-14,2016-05-28,2,HHS Region 1,ili perc,quantile,0.4,0.7998133664499192
2016-05-14,2016-05-28,2,HHS Region 1,ili perc,quantile,0.45,0.8313414702521581
2016-05-14,2016-05-28,2,HHS Region 1,ili perc,quantile,0.5,0.858410866449919
2016-05-14,2016-05-28,2,HHS Region 1,ili perc,quantile,0.55,0.9095524698955112
2016-05-14,2016-05-28,2,HHS Region 1,ili perc,quantile,0.6000000000000001,0.9531602406050318
2016-05-14,2016-05-28,2,HHS Region 1,ili perc,quantile,0.6500000000000001,1.006985426741717
2016-05-14,2016-05-28,2,HHS Region 1,ili perc,quantile,0.7000000000000001,1.0664773690267415
2016-05-14,2016-05-28,2,HHS Region 1,ili perc,quantile,0.7500000000000001,1.138738366449919
2016-05-14,2016-05-28,2,HHS Region 1,ili perc,quantile,0.8,1.2262353664499193
2016-05-14,2016-05-28,2,HHS Region 1,ili perc,quantile,0.8500000000000001,1.3769907468552232
2016-05-14,2016-05-28,2,HHS Region 1,ili perc,quantile,0.9000000000000001,1.6715118144249193
