origin_date,location,target,horizon,target_end_date,output_type,output_type_id,value
2018-12-15,HHS Region 1,ili perc,1,2018-12-22,quantile,0.01,1.3894388638669688
2018-12-15,HHS Region 1,ili perc,1,2018-12-22,quantile,0.025,1.4923538870710031
2018-12-15,HHS Region 1,ili perc,1,2018-12-22,quantile,0.05,1.584404998109654
2018-12-15,HHS Region 1,ili perc,1,2018-12-22,quantile,0.1,1.6947613554425445
2018-12-15,HHS Region 1,ili perc,1,2018-12-22,quantile,0.15,1.771868352300928
2018-12-15,HHS Region 1,ili perc,1,2018-12-22,quantile,0.2,1.834721065532038
2018-12-15,HHS Region 1,ili perc,1,2018-12-22,quantile,0.25,1.8897777129675066
2018-12-15,HHS Region 1,ili perc,1,2018-12-22,quantile,0.3,1.94013101153842
2018-12-15,HHS Region 1,ili perc,1,2018-12-22,quantile,0.35,1.9875737266216384
2018-12-15,HHS Region 1,ili perc,1,2018-12-22,quantile,0.4,2.033299900705995
2018-12-15,HHS Region 1,ili perc,1,2018-12-22,quantile,0.45,2.07820651655324
2018-12-15,HHS Region 1,ili perc,1,2018-12-22,quantile,0.5,2.123050199066265
2018-12-15,HHS Region 1,ili perc,1,2018-12-22,quantile,0.55,2.1685471697360508
2018-12-15,HHS Region 1,ili perc,1,2018-12-22,quantile,0.6,2.2154560594610975
2018-12-15,HHS Region 1,ili perc,1,2018-12-22,quantile,0.65,2.2646700762484864
2018-12-15,HHS Region 1,ili perc,1,2018-12-22,quantile,0.7,2.3173496376899068
2018-12-15,HHS Region 1,ili perc,1,2018-12-22,quantile,0.75,2.3751532175366
2018-12-15,HHS Region 1,ili perc,1,2018-12-22,quantile,0.8,2.4407062707093017
2018-12-15,HHS Region 1,ili perc,1,2018-12-22,quantile,0.85,2.5187250281174083
2018-12-15,HHS Region 1,ili perc,1,2018-12-22,quantile,0.9,2.6194086449210223
2018-12-15,HHS Region 1,ili perc,1,2018-12-22,quantile,0.95,2.773960564625872
2018-12-15,HHS Region 1,ili perc,1,2018-12-22,quantile,0.975,2.9133457718358025
2018-12-15,HHS Region 1,ili perc,1,2018-12-22,quantile,0.99,3.0818966717998677
2018-12-15,HHS Region 1,ili perc,2,2018-12-29,quantile,0.01,1.071771103987521
2018-12-15,HHS Region 1,ili perc,2,2018-12-29,quantile,0.025,1.2038624686432413
2018-12-15,HHS Region 1,ili perc,2,2018-12-29,quantile,0.05,1.3241850695124262
2018-12-15,HHS Region 1,ili perc,2,2018-12-29,quantile,0.1,1.4710847341806959
2018-12-15,HHS Region 1,ili perc,2,2018-12-29,quantile,0.15,1.5754074909043205
2018-12-15,HHS Region 1,ili perc,2,2018-12-29,quantile,0.2,1.661452107382918
2018-12-15,HHS Region 1,ili perc,2,2018-12-29,quantile,0.25,1.7375582065661612
2018-12-15,HHS Region 1,ili perc,2,2018-12-29,quantile,0.3,1.8077567947698892
2018-12-15,HHS Region 1,ili perc,2,2018-12-29,quantile,0.35,1.8744121198083608
2018-12-15,HHS Region 1,ili perc,2,2018-12-29,quantile,0.4,1.9391240767387294
2018-12-15,HHS Region 1,ili perc,2,2018-12-29,quantile,0.45,2.003119947135245
2018-12-15,HHS Region 1,ili perc,2,2018-12-29,quantile,0.5,2.067461500744032
2018-12-15,HHS Region 1,ili perc,2,2018-12-29,quantile,0.55,2.1331815658986994
2018-12-15,HHS Region 1,ili perc,2,2018-12-29,quantile,0.6,2.2014028033098443
2018-12-15,HHS Region 1,ili perc,2,2018-12-29,quantile,0.65,2.2734763375455547
2018-12-15,HHS Region 1,ili perc,2,2018-12-29,quantile,0.7,2.3511877083064707
2018-12-15,HHS Region 1,ili perc,2,2018-12-29,quantile,0.75,2.437121459546735
2018-12-15,HHS Region 1,ili perc,2,2018-12-29,quantile,0.8,2.535408370657956
2018-12-15,HHS Region 1,ili perc,2,2018-12-29,quantile,0.85,2.6535267105412
2018-12-15,HHS Region 1,ili perc,2,2018-12-29,quantile,0.9,2.807769085533422
2018-12-15,HHS Region 1,ili perc,2,2018-12-29,quantile,0.95,3.0484383889965945
2018-12-15,HHS Region 1,ili perc,2,2018-12-29,quantile,0.975,3.269467896669371
2018-12-15,HHS Region 1,ili perc,2,2018-12-29,quantile,0.99,3.541679358514454
2018-12-15,HHS Region 1,ili perc,3,2019-01-05,quantile,0.01,0.8866078124900327
2018-12-15,HHS Region 1,ili perc,3,2019-01-05,quantile,0.025,1.038536156299011
2018-12-15,HHS Region 1,ili perc,3,2019-01-05,quantile,0.05,1.1789532571679455
2018-12-15,HHS Region 1,ili perc,3,2019-01-05,quantile,0.1,1.352890786320754
2018-12-15,HHS Region 1,ili perc,3,2019-01-05,quantile,0.15,1.4780237065913986
2018-12-15,HHS Region 1,ili perc,3,2019-01-05,quantile,0.2,1.5822047429162942
2018-12-15,HHS Region 1,ili perc,3,2019-01-05,quantile,0.25,1.6750665985480007
2018-12-15,HHS Region 1,ili perc,3,2019-01-05,quantile,0.3,1.7613020598366178
2018-12-15,HHS Region 1,ili perc,3,2019-01-05,quantile,0.35,1.843691688766494
2018-12-15,HHS Region 1,ili perc,3,2019-01-05,quantile,0.4,1.9241433128394394
2018-12-15,HHS Region 1,ili perc,3,2019-01-05,quantile,0.45,2.004146891067045
2018-12-15,HHS Region 1,ili perc,3,2019-01-05,quantile,0.5,2.08501882643799
2018-12-15,HHS Region 1,ili perc,3,2019-01-05,quantile,0.55,2.168067842413779
2018-12-15,HHS Region 1,ili perc,3,2019-01-05,quantile,0.6,2.2547451137869094
2018-12-15,HHS Region 1,ili perc,3,2019-01-05,quantile,0.65,2.3468259576357813
2018-12-15,HHS Region 1,ili perc,3,2019-01-05,quantile,0.7,2.446686002921375
2018-12-15,HHS Region 1,ili perc,3,2019-01-05,quantile,0.75,2.5577959683855163
2018-12-15,HHS Region 1,ili perc,3,2019-01-05,quantile,0.8,2.6857422656299996
2018-12-15,HHS Region 1,ili perc,3,2019-01-05,quantile,0.85,2.840698187899196
2018-12-15,HHS Region 1,ili perc,3,2019-01-05,quantile,0.9,3.0449566188149446
