origin_date,location,target,horizon,target_end_date,output_type,output_type_id,value
2016-12-24,HHS Region 1,ili perc,1,2016-12-31,quantile,0.01,0.0
2016-12-24,HHS Region 1,ili perc,1,2016-12-31,quantile,0.025,0.0
2016-12-24,HHS Region 1,ili perc,1,2016-12-31,quantile,0.05,0.0
2016-12-24,HHS Region 1,ili perc,1,2016-12-31,quantile,0.1,0.0
2016-12-24,HHS Region 1,ili perc,1,2016-12-31,quantile,0.15,0.0
2016-12-24,HHS Region 1,ili perc,1,2016-12-31,quantile,0.2,0.0
2016-12-24,HHS Region 1,ili perc,1,2016-12-31,quantile,0.25,0.0
2016-12-24,HHS Region 1,ili perc,1,2016-12-31,quantile,0.3,0.0
2016-12-24,HHS Region 1,ili perc,1,2016-12-31,quantile,0.35,1.0
2016-12-24,HHS Region 1,ili perc,1,2016-12-31,quantile,0.4,1.0
2016-12-24,HHS Region 1,ili perc,1,2016-12-31,quantile,0.45,1.0
2016-12-24,HHS Region 1,ili perc,1,2016-12-31,quantile,0.5,1.0
2016-12-24,HHS Region 1,ili perc,1,2016-12-31,quantile,0.55,1.0
2016-12-24,HHS Region 1,ili perc,1,2016-12-31,quantile,0.6,1.0
2016-12-24,HHS Region 1,ili perc,1,2016-12-31,quantile,0.65,1.0
2016-12-24,HHS Region 1,ili perc,1,2016-12-31,quantile,0.7,2.0
2016-12-24,HHS Region 1,ili perc,1,2016-12-31,quantile,0.75,2.0
2016-12-24,HHS Region 1,ili perc,1,2016-12-31,quantile,0.8,2.0
2016-12-24,HHS Region 1,ili perc,1,2016-12-31,quantile,0.85,3.0
2016-12-24,HHS Region 1,ili perc,1,2016-12-31,quantile,0.9,3.0
2016-12-24,HHS Region 1,ili perc,1,2016-12-31,quantile,0.95,3.0
2016-12-24,HHS Region 1,ili perc,1,2016-12-31,quantile,0.975,4.0
2016-12-24,HHS Region 1,ili perc,1,2016-12-31,quantile,0.99,5.0
2016-12-24,HHS Region 1,ili perc,2,2017-01-07,quantile,0.01,0.0
2016-12-24,HHS Region 1,ili perc,2,2017-01-07,quantile,0.025,0.0
2016-12-24,HHS Region 1,ili perc,2,2017-01-07,quantile,0.05,0.0
2016-12-24,HHS Region 1,ili perc,2,2017-01-07,quantile,0.1,0.0
2016-12-24,HHS Region 1,ili perc,2,2017-01-07,quantile,0.15,0.0
2016-12-24,HHS Region 1,ili perc,2,2017-01-07,quantile,0.2,0.0
2016-12-24,HHS Region 1,ili perc,2,2017-01-07,quantile,0.25,0.0
2016-12-24,HHS Region 1,ili perc,2,2017-01-07,quantile,0.3,0.0
2016-12-24,HHS Region 1,ili perc,2,2017-01-07,quantile,0.35,1.0
2016-12-24,HHS Region 1,ili perc,2,2017-01-07,quantile,0.4,1.0
2016-12-24,HHS Region 1,ili perc,2,2017-01-07,quantile,0.45,1.0
2016-12-24,HHS Region 1,ili perc,2,2017-01-07,quantile,0.5,1.0
2016-12-24,HHS Region 1,ili perc,2,2017-01-07,quantile,0.55,1.0
2016-12-24,HHS Region 1,ili perc,2,2017-01-07,quantile,0.6,1.0
2016-12-24,HHS Region 1,ili perc,2,2017-01-07,quantile,0.65,2.0
2016-12-24,HHS Region 1,ili perc,2,2017-01-07,quantile,0.7,2.0
2016-12-24,HHS Region 1,ili perc,2,2017-01-07,quantile,0.75,2.0
2016-12-24,HHS Region 1,ili perc,2,2017-01-07,quantile,0.8,2.0
2016-12-24,HHS Region 1,ili perc,2,2017-01-07,quantile,0.85,3.0
