origin_date,location,target,horizon,target_end_date,output_type,output_type_id,value
2017-11-18,HHS Region 1,ili perc,1,2017-11-25,quantile,0.01,0.34943620615902865
2017-11-18,HHS Region 1,ili perc,1,2017-11-25,quantile,0.025,0.5813643589801369
2017-11-18,HHS Region 1,ili perc,1,2017-11-25,quantile,0.05,0.6965232715730745
2017-11-18,HHS Region 1,ili perc,1,2017-11-25,quantile,0.1,0.7714382722133029
2017-11-18,HHS Region 1,ili perc,1,2017-11-25,quantile,0.15,0.8591464073645246
2017-11-18,HHS Region 1,ili perc,1,2017-11-25,quantile,0.2,0.911453473551931
2017-11-18,HHS Region 1,ili perc,1,2017-11-25,quantile,0.25,0.9449933939274093
2017-11-18,HHS Region 1,ili perc,1,2017-11-25,quantile,0.3,0.9722273453567601
2017-11-18,HHS Region 1,ili perc,1,2017-11-25,quantile,0.35,1.0131482147752253
2017-11-18,HHS Region 1,ili perc,1,2017-11-25,quantile,0.4,1.0515693658410075
2017-11-18,HHS Region 1,ili perc,1,2017-11-25,quantile,0.45,1.1044752710162535
2017-11-18,HHS Region 1,ili perc,1,2017-11-25,quantile,0.5,1.1495937536943395
2017-11-18,HHS Region 1,ili perc,1,2017-11-25,quantile,0.55,1.1985022350708006
2017-11-18,HHS Region 1,ili perc,1,2017-11-25,quantile,0.6,1.2401171431930753
2017-11-18,HHS Region 1,ili perc,1,2017-11-25,quantile,0.65,1.3049476582484045
2017-11-18,HHS Region 1,ili perc,1,2017-11-25,quantile,0.7,1.3800024914018847
2017-11-18,HHS Region 1,ili perc,1,2017-11-25,quantile,0.75,1.4652071390537378
2017-11-18,HHS Region 1,ili perc,1,2017-11-25,quantile,0.8,1.5230664417899022
2017-11-18,HHS Region 1,ili perc,1,2017-11-25,quantile,0.85,1.5882369186123582
2017-11-18,HHS Region 1,ili perc,1,2017-11-25,quantile,0.9,1.6407064687513726
2017-11-18,HHS Region 1,ili perc,1,2017-11-25,quantile,0.95,1.8513448674147404
2017-11-18,HHS Region 1,ili perc,1,2017-11-25,quantile,0.975,1.9179575007470575
2017-11-18,HHS Region 1,ili perc,1,2017-11-25,quantile,0.99,2.030098177969856
2017-11-18,HHS Region 1,ili perc,2,2017-12-02,quantile,0.01,0.053749815046819575
2017-11-18,HHS Region 1,ili perc,2,2017-12-02,quantile,0.025,0.22275302159590776
2017-11-18,HHS Region 1,ili perc,2,2017-12-02,quantile,0.05,0.3407215669418801
2017-11-18,HHS Region 1,ili perc,2,2017-12-02,quantile,0.1,0.5740130212662635
2017-11-18,HHS Region 1,ili perc,2,2017-12-02,quantile,0.15,0.6948767970910086
2017-11-18,HHS Region 1,ili perc,2,2017-12-02,quantile,0.2,0.8295291328785619
2017-11-18,HHS Region 1,ili perc,2,2017-12-02,quantile,0.25,0.9121941567040213
2017-11-18,HHS Region 1,ili perc,2,2017-12-02,quantile,0.3,0.9976321173697136
2017-11-18,HHS Region 1,ili perc,2,2017-12-02,quantile,0.35,1.0364417352319775
