origin_date,location,target,horizon,target_end_date,output_type,output_type_id,value
2017-02-11,HHS Region 1,ili perc,1,2017-02-18,quantile,0.01,1.8926923494379955
2017-02-11,HHS Region 1,ili perc,1,2017-02-18,quantile,0.025,2.1054555731678173
2017-02-11,HHS Region 1,ili perc,1,2017-02-18,quantile,0.05,2.279901375669219
2017-02-11,HHS Region 1,ili perc,1,2017-02-18,quantile,0.1,2.542798482620874
2017-02-11,HHS Region 1,ili perc,1,2017-02-18,quantile,0.15,2.7025605440439886
2017-02-11,HHS Region 1,ili perc,1,2017-02-18,quantile,0.2,2.8547191336742
2017-02-11,HHS Region 1,ili perc,1,2017-02-18,quantile,0.25,2.974898755510201
2017-02-11,HHS Region 1,ili perc,1,2017-02-18,quantile,0.3,3.0965975656951903
2017-02-11,HHS Region 1,ili perc,1,2017-02-18,quantile,0.35,3.208549761644718
2017-02-11,HHS Region 1,ili perc,1,2017-02-18,quantile,0.4,3.3218695184259963
2017-02-11,HHS Region 1,ili perc,1,2017-02-18,quantile,0.45,3.4497027702730314
2017-02-11,HHS Region 1,ili perc,1,2017-02-18,quantile,0.5,3.5761896167860447
2017-02-11,HHS Region 1,ili perc,1,2017-02-18,quantile,0.55,3.697273035401143
2017-02-11,HHS Region 1,ili perc,1,2017-02-18,quantile,0.6,3.8212687910301897
2017-02-11,HHS Region 1,ili perc,1,2017-02-18,quantile,0.65,3.988156445364161
2017-02-11,HHS Region 1,ili perc,1,2017-02-18,quantile,0.7,4.1347897400772124
2017-02-11,HHS Region 1,ili perc,1,2017-02-18,quantile,0.75,4.364772830512062
2017-02-11,HHS Region 1,ili perc,1,2017-02-18,quantile,0.8,4.612306764761332
2017-02-11,HHS Region 1,ili perc,1,2017-02-18,quantile,0.85,4.9132635035335825
2017-02-11,HHS Region 1,ili perc,1,2017-02-18,quantile,0.9,5.240645658676304
2017-02-11,HHS Region 1,ili perc,1,2017-02-18,quantile,0.95,5.762268998460599
2017-02-11,HHS Region 1,ili perc,1,2017-02-18,quantile,0.975,6.229196225947244
2017-02-11,HHS Region 1,ili perc,1,2017-02-18,quantile,0.99,7.018997690720934
2017-02-11,HHS Region 1,ili perc,2,2017-02-25,quantile,0.01,1.8017236922393938
2017-02-11,HHS Region 1,ili perc,2,2017-02-25,quantile,0.025,1.9909056215877545
2017-02-11,HHS Region 1,ili perc,2,2017-02-25,quantile,0.05,2.1584361595833386
2017-02-11,HHS Region 1,ili perc,2,2017-02-25,quantile,0.1,2.472379586122377
2017-02-11,HHS Region 1,ili perc,2,2017-02-25,quantile,0.15,2.7219185767769685
2017-02-11,HHS Region 1,ili perc,2,2017-02-25,quantile,0.2,2.92904855641679
2017-02-11,HHS Region 1,ili perc,2,2017-02-25,quantile,0.25,3.1353202873609134
2017-02-11,HHS Region 1,ili perc,2,2017-02-25,quantile,0.3,3.3216190282090956
2017-02-11,HHS Region 1,ili perc,2,2017-02-25,quantile,0.35,3.5359993328717847
2017-02-11,HHS Region 1,ili perc,2,2017-02-25,quantile,0.4,3.7217500309476956
2017-02-11,HHS Region 1,ili perc,2,2017-02-25,quantile,0.45,3.9006199016407628
2017-02-11,HHS Region 1,ili perc,2,2017-02-25,quantile,0.5,4.1198994829975675
2017-02-11,HHS Region 1,ili perc,2,2017-02-25,quantile,0.55,4.343379014633874
2017-02-11,HHS Region 1,ili perc,2,2017-02-25,quantile,0.6,4.556114171231738
2017-02-11,HHS Region 1,ili perc,2,2017-02-25,quantile,0.65,4.790912732678384
2017-02-11,HHS Region 1,ili perc,2,2017-02-25,quantile,0.7,5.076533046824247
2017-02-11,HHS Region 1,ili perc,2,2017-02-25,quantile,0.75,5.393762443219889
2017-02-11,HHS Region 1,ili perc,2,2017-02-25,quantile,0.8,5.7185189507157554
2017-02-11,HHS Region 1,ili perc,2,2017-02-25,quantile,0.85,6.180364065836763
2017-02-11,HHS Region 1,ili perc,2,2017-02-25,quantile,0.9,6.7887415212684035
2017-02-11,HHS Region 1,ili perc,2,2017-02-25,quantile,0.95,7.793546808515681
2017-02-11,HHS Region 1,ili perc,2,2017-02-25,quantile,0.975,8.765662739071955
2017-02-11,HHS Region 1,ili perc,2,2017-02-25,quantile,0.99,9.798504626062378
2017-02-11,HHS Region 1,ili perc,3,2017-03-04,quantile,0.01,1.597082675421127
2017-02-11,HHS Region 1,ili perc,3,2017-03-04,quantile,0.025,1.8621441914527637
2017-02-11,HHS Region 1,ili perc,3,2017-03-04,quantile,0.05,2.141763416864147
2017-02-11,HHS Region 1,ili perc,3,2017-03-04,quantile,0.1,2.5207398229637463
2017-02-11,HHS Region 1,ili perc,3,2017-03-04,quantile,0.15,2.792608011891355
2017-02-11,HHS Region 1,ili perc,3,2017-03-04,quantile,0.2,3.101647963497399
2017-02-11,HHS Region 1,ili perc,3,2017-03-04,quantile,0.25,3.369090469307322
2017-02-11,HHS Region 1,ili perc,3,2017-03-04,quantile,0.3,3.589108809141646
2017-02-11,HHS Region 1,ili perc,3,2017-03-04,quantile,0.35,3.853664933541957
2017-02-11,HHS Region 1,ili perc,3,2017-03-04,quantile,0.4,4.0680939595701116
2017-02-11,HHS Region 1,ili perc,3,2017-03-04,quantile,0.45,4.317716316273222
2017-02-11,HHS Region 1,ili perc,3,2017-03-04,quantile,0.5,4.612031832052216
2017-02-11,HHS Region 1,ili perc,3,2017-03-04,quantile,0.55,4.905298447129943
2017-02-11,HHS Region 1,ili perc,3,2017-03-04,quantile,0.6,5.226005852960452
2017-02-11,HHS Region 1,ili perc,3,2017-03-04,quantile,0.65,5.5760214149727325
2017-02-11,HHS Region 1,ili perc,3,2017-03-04,quantile,0.7,5.973513939370998
2017-02-11,HHS Region 1,ili perc,3,2017-03-04,quantile,0.75,6.372494399959138
2017-02-11,HHS Region 1,ili perc,3,2017-03-04,quantile,0.8,6.905713971346978
2017-02-11,HHS Region 1,ili perc,3,2017-03-04,quantile,0.85,7.5273287978453505
2017-02-11,HHS Region 1,ili perc,3,2017-03-04,quantile,0.9,8.467679466865011
2017-02-11,HHS Region 1,ili perc,3,2017-03-04,quantile,0.95,9.900226078616017
2017-02-11,HHS Region 1,ili perc,3,2017-03-04,quantile,0.975,11.628736496093575
