origin_date,location,target,horizon,target_end_date,output_type,output_type_id,value
2017-02-11,HHS Region 1,ili perc,1,2017-02-18,quantile,0.01,2.0319014810164546
2017-02-11,HHS Region 1,ili perc,1,2017-02-18,quantile,0.025,2.2126154463680403
2017-02-11,HHS Region 1,ili perc,1,2017-02-18,quantile,0.05,2.389605119360854
2017-02-11,HHS Region 1,ili perc,1,2017-02-18,quantile,0.1,2.635973788499289
2017-02-11,HHS Region 1,ili perc,1,2017-02-18,quantile,0.15,2.8305623698458895
2017-02-11,HHS Region 1,ili perc,1,2017-02-18,quantile,0.2,3.009145909982872
2017-02-11,HHS Region 1,ili perc,1,2017-02-18,quantile,0.25,3.1403961712307487
2017-02-11,HHS Region 1,ili perc,1,2017-02-18,quantile,0.3,3.2697251671809915
2017-02-11,HHS Region 1,ili perc,1,2017-02-18,quantile,0.35,3.3881335437246234
2017-02-11,HHS Region 1,ili perc,1,2017-02-18,quantile,0.4,3.5109428438428
2017-02-11,HHS Region 1,ili perc,1,2017-02-18,quantile,0.45,3.649927434270587
2017-02-11,HHS Region 1,ili perc,1,2017-02-18,quantile,0.5,3.7830385861312292
2017-02-11,HHS Region 1,ili perc,1,2017-02-18,quantile,0.55,3.91810757106436
2017-02-11,HHS Region 1,ili perc,1,2017-02-18,quantile,0.6,4.080940639399151
2017-02-11,HHS Region 1,ili perc,1,2017-02-18,quantile,0.65,4.257081723542527
2017-02-11,HHS Region 1,ili perc,1,2017-02-18,quantile,0.7,4.417642996162664
2017-02-11,HHS Region 1,ili perc,1,2017-02-18,quantile,0.75,4.6147856564773875
2017-02-11,HHS Region 1,ili perc,1,2017-02-18,quantile,0.8,4.816779558363344
2017-02-11,HHS Region 1,ili perc,1,2017-02-18,quantile,0.85,5.106896165541305
2017-02-11,HHS Region 1,ili perc,1,2017-02-18,quantile,0.9,5.5188070892375976
2017-02-11,HHS Region 1,ili perc,1,2017-02-18,quantile,0.95,6.1513433837883715
2017-02-11,HHS Region 1,ili perc,1,2017-02-18,quantile,0.975,6.8229660683072515
2017-02-11,HHS Region 1,ili perc,1,2017-02-18,quantile,0.99,7.445582162444592
2017-02-11,HHS Region 1,ili perc,2,2017-02-25,quantile,0.01,1.7517823741995273
2017-02-11,HHS Region 1,ili perc,2,2017-02-25,quantile,0.025,2.0232236708890436
2017-02-11,HHS Region 1,ili perc,2,2017-02-25,quantile,0.05,2.3013743896220342
2017-02-11,HHS Region 1,ili perc,2,2017-02-25,quantile,0.1,2.6835328619497285
2017-02-11,HHS Region 1,ili perc,2,2017-02-25,quantile,0.15,2.966021075508555
2017-02-11,HHS Region 1,ili perc,2,2017-02-25,quantile,0.2,3.2212253670607707
2017-02-11,HHS Region 1,ili perc,2,2017-02-25,quantile,0.25,3.4503739103743185
