origin_date,location,target,horizon,target_end_date,output_type,output_type_id,value
2019-10-19,HHS Region 1,ili perc,1,2019-10-26,quantile,0.01,0.8922799302604622
2019-10-19,HHS Region 1,ili perc,1,2019-10-26,quantile,0.025,0.905631093392539
2019-10-19,HHS Region 1,ili perc,1,2019-10-26,quantile,0.05,0.9278830319460003
2019-10-19,HHS Region 1,ili perc,1,2019-10-26,quantile,0.1,0.9723869090529229
2019-10-19,HHS Region 1,ili perc,1,2019-10-26,quantile,0.15,0.9860356169154846
2019-10-19,HHS Region 1,ili perc,1,2019-10-26,quantile,0.2,0.9908685621368003
2019-10-19,HHS Region 1,ili perc,1,2019-10-26,quantile,0.25,1.0443216816618293
2019-10-19,HHS Region 1,ili perc,1,2019-10-26,quantile,0.3,1.1366709406298285
2019-10-19,HHS Region 1,ili perc,1,2019-10-26,quantile,0.35,1.2126400002627284
2019-10-19,HHS Region 1,ili perc,1,2019-10-26,quantile,0.4,1.255848661225429
2019-10-19,HHS Region 1,ili perc,1,2019-10-26,quantile,0.45,1.3007213270834834
2019-10-19,HHS Region 1,ili perc,1,2019-10-26,quantile,0.5,1.3589060321043709
2019-10-19,HHS Region 1,ili perc,1,2019-10-26,quantile,0.55,1.4170907371252581
2019-10-19,HHS Region 1,ili perc,1,2019-10-26,quantile,0.6,1.4651113324261136
2019-10-19,HHS Region 1,ili perc,1,2019-10-26,quantile,0.65,1.5118614140119655
2019-10-19,HHS Region 1,ili perc,1,2019-10-26,quantile,0.7,1.5304917996416991
2019-10-19,HHS Region 1,ili perc,1,2019-10-26,quantile,0.75,1.5350623372933745
2019-10-19,HHS Region 1,ili perc,1,2019-10-26,quantile,0.8,1.557452021404595
2019-10-19,HHS Region 1,ili perc,1,2019-10-26,quantile,0.85,1.6021156385902482
2019-10-19,HHS Region 1,ili perc,1,2019-10-26,quantile,0.9,1.6719959050734317
2019-10-19,HHS Region 1,ili perc,1,2019-10-26,quantile,0.95,1.8301344440979683
2019-10-19,HHS Region 1,ili perc,1,2019-10-26,quantile,0.975,1.9092037136102378
2019-10-19,HHS Region 1,ili perc,1,2019-10-26,quantile,0.99,1.956645275317599
2019-10-19,HHS Region 1,ili perc,2,2019-11-02,quantile,0.01,0.7809783513927834
2019-10-19,HHS Region 1,ili perc,2,2019-11-02,quantile,0.025,0.783369601461397
2019-10-19,HHS Region 1,ili perc,2,2019-11-02,quantile,0.05,0.78735501824242
