origin_date,location,target,horizon,target_end_date,output_type,output_type_id,value
2019-03-02,HHS Region 1,ili perc,1,2019-03-09,quantile,0.01,0
2019-03-02,HHS Region 1,ili perc,1,2019-03-09,quantile,0.025,1.0484067184952452
2019-03-02,HHS Region 1,ili perc,1,2019-03-09,quantile,0.05,1.3985969799962041
2019-03-02,HHS Region 1,ili perc,1,2019-03-09,quantile,0.1,1.993762803490699
2019-03-02,HHS Region 1,ili perc,1,2019-03-09,quantile,0.15,2.1923716250215772
2019-03-02,HHS Region 1,ili perc,1,2019-03-09,quantile,0.2,2.302720583939556
2019-03-02,HHS Region 1,ili perc,1,2019-03-09,quantile,0.25,2.3497857184952453
2019-03-02,HHS Region 1,ili perc,1,2019-03-09,quantile,0.3,2.4006354184952454
2019-03-02,HHS Region 1,ili perc,1,2019-03-09,quantile,0.35,2.444886853588009
2019-03-02,HHS Region 1,ili perc,1,2019-03-09,quantile,0.4,2.4792711988303244
2019-03-02,HHS Region 1,ili perc,1,2019-03-09,quantile,0.45,2.512295398643843
2019-03-02,HHS Region 1,ili perc,1,2019-03-09,quantile,0.5,2.542898718495245
2019-03-02,HHS Region 1,ili perc,1,2019-03-09,quantile,0.55,2.575582861956989
2019-03-02,HHS Region 1,ili perc,1,2019-03-09,quantile,0.6,2.60780625075588
2019-03-02,HHS Region 1,ili perc,1,2019-03-09,quantile,0.65,2.6504919684952455
2019-03-02,HHS Region 1,ili perc,1,2019-03-09,quantile,0.7,2.711128893951286
2019-03-02,HHS Region 1,ili perc,1,2019-03-09,quantile,0.75,2.770803037238587
2019-03-02,HHS Region 1,ili perc,1,2019-03-09,quantile,0.8,2.8466257184952455
2019-03-02,HHS Region 1,ili perc,1,2019-03-09,quantile,0.85,2.9694290498899334
2019-03-02,HHS Region 1,ili perc,1,2019-03-09,quantile,0.9,3.2763365184952455
2019-03-02,HHS Region 1,ili perc,1,2019-03-09,quantile,0.95,3.6699167184952453
2019-03-02,HHS Region 1,ili perc,1,2019-03-09,quantile,0.975,4.493461338257604
2019-03-02,HHS Region 1,ili perc,1,2019-03-09,quantile,0.99,5.099372218495244
2019-03-02,HHS Region 1,ili perc,2,2019-03-16,quantile,0.01,0
2019-03-02,HHS Region 1,ili perc,2,2019-03-16,quantile,0.025,0.4918002184952451
2019-03-02,HHS Region 1,ili perc,2,2019-03-16,quantile,0.05,1.1187760124195318
2019-03-02,HHS Region 1,ili perc,2,2019-03-16,quantile,0.1,1.7306928916308333
2019-03-02,HHS Region 1,ili perc,2,2019-03-16,quantile,0.15,2.0228338152419125
2019-03-02,HHS Region 1,ili perc,2,2019-03-16,quantile,0.2,2.163150633218225
2019-03-02,HHS Region 1,ili perc,2,2019-03-16,quantile,0.25,2.227139468495245
2019-03-02,HHS Region 1,ili perc,2,2019-03-16,quantile,0.3,2.2818067184952446
2019-03-02,HHS Region 1,ili perc,2,2019-03-16,quantile,0.35,2.3232789356926102
2019-03-02,HHS Region 1,ili perc,2,2019-03-16,quantile,0.4,2.373642557316844
2019-03-02,HHS Region 1,ili perc,2,2019-03-16,quantile,0.45,2.397860290905072
2019-03-02,HHS Region 1,ili perc,2,2019-03-16,quantile,0.5,2.417623505822923
2019-03-02,HHS Region 1,ili perc,2,2019-03-16,quantile,0.55,2.4688163471112183
2019-03-02,HHS Region 1,ili perc,2,2019-03-16,quantile,0.6,2.5094771424823596
2019-03-02,HHS Region 1,ili perc,2,2019-03-16,quantile,0.65,2.555418718495245
2019-03-02,HHS Region 1,ili perc,2,2019-03-16,quantile,0.7,2.603406918495245
2019-03-02,HHS Region 1,ili perc,2,2019-03-16,quantile,0.75,2.6597972199427815
2019-03-02,HHS Region 1,ili perc,2,2019-03-16,quantile,0.8,2.746966718495245
2019-03-02,HHS Region 1,ili perc,2,2019-03-16,quantile,0.85,2.871568418495245
2019-03-02,HHS Region 1,ili perc,2,2019-03-16,quantile,0.9,3.2331401664702453
2019-03-02,HHS Region 1,ili perc,2,2019-03-16,quantile,0.95,3.6924578601217988
2019-03-02,HHS Region 1,ili perc,2,2019-03-16,quantile,0.975,3.9389867184952445
2019-03-02,HHS Region 1,ili perc,2,2019-03-16,quantile,0.99,4.617384218495241
2019-03-02,HHS Region 1,ili perc,3,2019-03-23,quantile,0.01,0
2019-03-02,HHS Region 1,ili perc,3,2019-03-23,quantile,0.025,0.027745696760314922
2019-03-02,HHS Region 1,ili perc,3,2019-03-23,quantile,0.05,0.7938048773939886
2019-03-02,HHS Region 1,ili perc,3,2019-03-23,quantile,0.1,1.3547153677577823
2019-03-02,HHS Region 1,ili perc,3,2019-03-23,quantile,0.15,1.648680718495245
2019-03-02,HHS Region 1,ili perc,3,2019-03-23,quantile,0.2,1.781860718495245
2019-03-02,HHS Region 1,ili perc,3,2019-03-23,quantile,0.25,1.856296718495245
2019-03-02,HHS Region 1,ili perc,3,2019-03-23,quantile,0.3,1.9141807184952448
2019-03-02,HHS Region 1,ili perc,3,2019-03-23,quantile,0.35,1.968420850590557
2019-03-02,HHS Region 1,ili perc,3,2019-03-23,quantile,0.4,2.008136013224264
2019-03-02,HHS Region 1,ili perc,3,2019-03-23,quantile,0.45,2.0475741317585467
